Accident_ID,Date,District,Location,Time,Vehicle_Type,Road_Type,Weather,Cause,Persons_Involved,Injured,Fatalities,Gender,Age,Helmet_Seatbelt,Police_Case,Damage_Cost (₹),Latitude,Longitude
TN-2023-00001,13-04-2023,Vellore,Location_51,20:45,Two Wheeler,NH,Clear,Reckless driving,4,2,0,Male,51,No,Yes,143949,12.16566306,79.94867273
TN-2023-00002,15-12-2023,Tiruppur,Location_16,18:52,Truck,NH,Clear,Weather,5,3,0,Male,39,Yes,No,249074,8.604651997,77.64840303
TN-2023-00003,28-09-2023,Tirunelveli,Location_88,20:16,Bus,NH,Fog,Weather,1,2,0,Male,61,Yes,Yes,234067,12.69743522,79.13033517
TN-2023-00004,17-04-2023,Chennai,Location_78,13:39,Truck,Urban Street,Fog,Drunk drive,4,2,1,Male,59,No,No,236319,8.93884893,80.05258691
TN-2023-00005,13-03-2023,Trichy,Location_3,20:52,Two Wheeler,NH,Clear,Drunk drive,5,2,0,Male,46,No,Yes,302004,8.377734901,76.76190887
TN-2023-00006,08-07-2023,Trichy,Location_98,08:39,Two Wheeler,Urban Street,Fog,Reckless driving,1,1,0,Female,64,Yes,Yes,338178,8.537642995,78.74365779
TN-2023-00007,21-01-2023,Salem,Location_97,12:48,Car,NH,Rain,Drunk drive,1,3,0,Male,22,Yes,Yes,318180,11.06556576,80.08446659
TN-2023-00008,13-04-2023,Tiruppur,Location_24,18:06,Car,Urban Street,Clear,Brake failure,1,2,0,Female,18,Yes,No,468753,9.605304473,76.87035892
TN-2023-00009,02-05-2023,Erode,Location_73,16:00,Two Wheeler,Urban Street,Clear,Drunk drive,2,0,0,Male,57,Yes,Yes,320821,13.28524878,80.44920676
TN-2023-00010,03-08-2023,Trichy,Location_13,04:56,Truck,Urban Street,Fog,Brake failure,1,0,0,Male,42,Yes,Yes,341547,12.68972126,77.64287588
TN-2023-00011,27-11-2023,Coimbatore,Location_2,05:25,Lorry,Rural Road,Fog,Reckless driving,3,1,0,Male,23,Yes,Yes,301545,12.41819261,76.97886615
TN-2023-00012,29-03-2023,Erode,Location_71,01:58,Bus,NH,Fog,Brake failure,3,2,0,Male,40,Yes,No,407738,12.45301156,79.77018753
TN-2023-00013,10-04-2023,Vellore,Location_21,15:53,Two Wheeler,Urban Street,Rain,Reckless driving,1,2,0,Male,50,Yes,Yes,48935,12.8987253,78.10559043
TN-2023-00014,26-12-2023,Vellore,Location_19,04:36,Bus,NH,Clear,Poor road,4,1,0,Male,31,Yes,Yes,150823,12.7586556,79.01805181
TN-2023-00015,01-06-2023,Tirunelveli,Location_89,11:34,Bus,Rural Road,Sunny,Drunk drive,3,3,0,Female,59,No,Yes,333946,13.1051416,78.20323246
TN-2023-00016,11-05-2023,Erode,Location_47,15:05,Two Wheeler,SH,Rain,Weather,5,2,0,Male,53,No,Yes,215574,13.13901478,78.89587509
TN-2023-00017,30-05-2023,Coimbatore,Location_22,14:14,Auto Rickshaw,NH,Rain,Over speed,5,2,0,Male,35,Yes,No,332816,9.640767291,76.15915967
TN-2023-00018,05-11-2023,Tirunelveli,Location_75,15:19,Two Wheeler,NH,Clear,Weather,4,0,0,Female,57,No,Yes,485313,9.207602934,77.57581102
TN-2023-00019,15-09-2023,Salem,Location_33,12:43,Two Wheeler,Rural Road,Sunny,Drunk drive,5,2,0,Male,61,No,No,210731,11.53703972,78.95790337
TN-2023-00020,10-12-2023,Erode,Location_32,09:45,Two Wheeler,Urban Street,Clear,Weather,4,1,1,Male,27,Yes,Yes,105245,8.678321682,77.57851262
TN-2023-00021,21-10-2023,Tiruppur,Location_64,01:28,Lorry,NH,Rain,Drunk drive,5,0,0,Female,62,Yes,Yes,306836,9.161298126,79.49089579
TN-2023-00022,11-07-2023,Vellore,Location_85,02:08,Car,SH,Fog,Drunk drive,1,1,0,Female,56,Yes,No,144432,12.2512617,80.32398029
TN-2023-00023,04-10-2023,Vellore,Location_39,10:10,Two Wheeler,Rural Road,Clear,Weather,5,1,0,Male,29,Yes,Yes,314867,11.57134485,76.16835152
TN-2023-00024,10-06-2023,Madurai,Location_84,21:41,Two Wheeler,Urban Street,Clear,Brake failure,1,2,0,Male,55,No,Yes,226645,11.57968575,79.8489317
TN-2023-00025,10-11-2023,Tirunelveli,Location_72,13:08,Two Wheeler,NH,Fog,Poor road,5,3,0,Male,40,Yes,Yes,288033,13.22851173,76.76078808
TN-2023-00026,22-01-2023,Chennai,Location_42,19:58,Two Wheeler,NH,Sunny,Poor road,5,2,1,Male,24,Yes,Yes,488191,11.67193454,80.12801692
TN-2023-00027,10-09-2023,Chennai,Location_9,20:09,Car,Rural Road,Sunny,Poor road,5,3,0,Male,62,Yes,Yes,426308,10.36943931,80.26056736
TN-2023-00028,24-08-2023,Tirunelveli,Location_25,21:28,Two Wheeler,Urban Street,Clear,Poor road,1,0,1,Male,63,Yes,Yes,79283,9.541828387,78.56130822
TN-2023-00029,11-12-2023,Tiruppur,Location_89,08:04,Two Wheeler,Urban Street,Fog,Over speed,5,1,1,Male,42,No,Yes,456157,9.862054602,78.15555455
TN-2023-00030,18-02-2023,Thoothukudi,Location_97,07:10,Auto Rickshaw,Rural Road,Clear,Reckless driving,5,1,1,Male,30,Yes,Yes,343717,9.527974162,79.41324953
TN-2023-00031,28-02-2023,Tirunelveli,Location_2,00:52,Car,NH,Fog,Drunk drive,2,2,0,Male,55,No,Yes,191956,8.192434358,80.1310968
TN-2023-00032,19-06-2023,Tiruppur,Location_19,09:00,Bus,NH,Rain,Over speed,1,3,0,Female,36,Yes,Yes,427111,9.438657123,77.04600732
TN-2023-00033,07-07-2023,Salem,Location_20,21:38,Two Wheeler,Urban Street,Fog,Poor road,3,1,0,Female,62,No,Yes,189228,12.59453537,77.72098649
TN-2023-00034,28-09-2023,Vellore,Location_93,13:04,Two Wheeler,Urban Street,Clear,Poor road,4,1,0,Male,39,No,Yes,161473,12.00525946,77.87891198
TN-2023-00035,09-07-2023,Coimbatore,Location_70,16:21,Car,SH,Cloudy,Weather,2,3,0,Male,58,No,Yes,375514,11.42011037,79.80619561
TN-2023-00036,24-06-2023,Thoothukudi,Location_17,20:05,Two Wheeler,SH,Sunny,Poor road,5,1,0,Male,28,Yes,Yes,293418,12.96212951,76.61612659
TN-2023-00037,20-02-2023,Erode,Location_89,15:10,Two Wheeler,SH,Clear,Drunk drive,3,1,1,Male,59,No,Yes,68609,9.452687731,78.80369882
TN-2023-00038,30-12-2023,Thoothukudi,Location_68,09:46,Auto Rickshaw,Urban Street,Fog,Poor road,3,1,0,Male,20,Yes,Yes,137603,11.17726442,77.57923587
TN-2023-00039,24-02-2023,Coimbatore,Location_94,06:54,Truck,Urban Street,Fog,Poor road,5,3,0,Male,36,Yes,No,123448,8.172295334,79.98481356
TN-2023-00040,01-09-2023,Madurai,Location_84,01:30,Two Wheeler,Urban Street,Sunny,Over speed,5,3,0,Male,44,Yes,No,371266,12.906036,77.52905895
TN-2023-00041,16-11-2023,Vellore,Location_3,11:50,Two Wheeler,NH,Clear,Drunk drive,2,0,0,Male,24,No,Yes,398459,10.4625532,80.40075828
TN-2023-00042,11-05-2023,Chennai,Location_87,11:15,Truck,Rural Road,Cloudy,Brake failure,1,1,0,Female,54,Yes,Yes,253028,8.978292865,76.07034449
TN-2023-00043,03-11-2023,Tiruppur,Location_51,05:02,Two Wheeler,Urban Street,Rain,Weather,2,1,0,Female,44,No,Yes,126990,9.316241397,77.0779913
TN-2023-00044,15-05-2023,Tirunelveli,Location_82,01:51,Car,NH,Cloudy,Brake failure,1,0,0,Male,64,Yes,Yes,349098,12.66531493,78.05794411
TN-2023-00045,21-01-2023,Tirunelveli,Location_26,04:10,Truck,Urban Street,Rain,Reckless driving,3,3,1,Male,51,Yes,Yes,79918,8.598433898,77.15346062
TN-2023-00046,25-11-2023,Chennai,Location_56,02:34,Truck,Rural Road,Rain,Over speed,4,3,0,Male,28,Yes,Yes,290957,13.08861509,79.3182708
TN-2023-00047,16-06-2023,Thoothukudi,Location_64,21:36,Car,Urban Street,Clear,Poor road,5,2,0,Male,55,Yes,Yes,272597,10.05404461,79.66548161
TN-2023-00048,01-10-2023,Vellore,Location_8,21:54,Two Wheeler,NH,Rain,Weather,2,3,0,Male,22,Yes,Yes,313288,9.380968957,79.13878598
TN-2023-00049,30-03-2023,Trichy,Location_81,10:31,Two Wheeler,Urban Street,Fog,Reckless driving,3,2,1,Male,24,Yes,Yes,354293,9.825222816,80.36679317
TN-2023-00050,12-11-2023,Tiruppur,Location_95,02:30,Auto Rickshaw,Urban Street,Rain,Reckless driving,2,0,1,Male,53,Yes,Yes,83676,10.24940771,78.05217101
TN-2023-00051,14-01-2023,Salem,Location_37,12:52,Auto Rickshaw,Urban Street,Rain,Drunk drive,1,3,0,Male,22,No,Yes,425250,11.01462221,80.40896408
TN-2023-00052,30-08-2023,Coimbatore,Location_97,07:19,Car,SH,Sunny,Weather,5,0,1,Male,22,Yes,Yes,46941,11.22744122,76.56074784
TN-2023-00053,22-09-2023,Thoothukudi,Location_27,09:33,Lorry,Urban Street,Sunny,Reckless driving,1,2,0,Female,44,Yes,Yes,121106,10.46300601,79.80675094
TN-2023-00054,12-12-2023,Erode,Location_45,03:17,Bus,NH,Clear,Over speed,1,1,1,Female,46,Yes,Yes,267152,10.45500149,76.1729858
